n-2,n-1,n,n+1,n+2
22.728,22.905,22.281,22.358,22.468
22.589,22.728,22.905,22.281,22.358
23.234,22.589,22.728,22.905,22.281
23.285,23.234,22.589,22.728,22.905
22.846,23.285,23.234,22.589,22.728
22.79,22.846,23.285,23.234,22.589
22.952,22.79,22.846,23.285,23.234
23.396,22.952,22.79,22.846,23.285
22.774,23.396,22.952,22.79,22.846
22.795,22.774,23.396,22.952,22.79
22.895,22.795,22.774,23.396,22.952
22.999,22.895,22.795,22.774,23.396
23.095,22.999,22.895,22.795,22.774
23.504,23.095,22.999,22.895,22.795
23.031,23.504,23.095,22.999,22.895
23.099,23.031,23.504,23.095,22.999
23.024,23.099,23.031,23.504,23.095
22.765,23.024,23.099,23.031,23.504
22.895,22.765,23.024,23.099,23.031
21.959,22.895,22.765,23.024,23.099
22.133,21.959,22.895,22.765,23.024
21.953,22.133,21.959,22.895,22.765
21.924,21.953,22.133,21.959,22.895
21.723,21.924,21.953,22.133,21.959
21.019,21.723,21.924,21.953,22.133
21.146,21.019,21.723,21.924,21.953
21.377,21.146,21.019,21.723,21.924
21.421,21.377,21.146,21.019,21.723
22.45,21.421,21.377,21.146,21.019
22.741,22.45,21.421,21.377,21.146
22.724,22.741,22.45,21.421,21.377
23.196,22.724,22.741,22.45,21.421
23.385,23.196,22.724,22.741,22.45
23.844,23.385,23.196,22.724,22.741
23.687,23.844,23.385,23.196,22.724
23.836,23.687,23.844,23.385,23.196
23.456,23.836,23.687,23.844,23.385
23.498,23.456,23.836,23.687,23.844
23.386,23.498,23.456,23.836,23.687
22.994,23.386,23.498,23.456,23.836
23.181,22.994,23.386,23.498,23.456
23.402,23.181,22.994,23.386,23.498
23.383,23.402,23.181,22.994,23.386
23.174,23.383,23.402,23.181,22.994
23.24,23.174,23.383,23.402,23.181
23.503,23.24,23.174,23.383,23.402
23.873,23.503,23.24,23.174,23.383
24.305,23.873,23.503,23.24,23.174
24.532,24.305,23.873,23.503,23.24
24.562,24.532,24.305,23.873,23.503
24.812,24.562,24.532,24.305,23.873
25.104,24.812,24.562,24.532,24.305
25.139,25.104,24.812,24.562,24.532
24.605,25.139,25.104,24.812,24.562
24.583,24.605,25.139,25.104,24.812
24.575,24.583,24.605,25.139,25.104
24.71,24.575,24.583,24.605,25.139
23.763,24.71,24.575,24.583,24.605
23.659,23.763,24.71,24.575,24.583
22.733,23.659,23.763,24.71,24.575
22.715,22.733,23.659,23.763,24.71
22.535,22.715,22.733,23.659,23.763
22.656,22.535,22.715,22.733,23.659
22.708,22.656,22.535,22.715,22.733
22.743,22.708,22.656,22.535,22.715
22.821,22.743,22.708,22.656,22.535
22.731,22.821,22.743,22.708,22.656
22.807,22.731,22.821,22.743,22.708
23.232,22.807,22.731,22.821,22.743
23.716,23.232,22.807,22.731,22.821
23.697,23.716,23.232,22.807,22.731
23.872,23.697,23.716,23.232,22.807
24.326,23.872,23.697,23.716,23.232
24.972,24.326,23.872,23.697,23.716
24.495,24.972,24.326,23.872,23.697
24.243,24.495,24.972,24.326,23.872
24.841,24.243,24.495,24.972,24.326
24.695,24.841,24.243,24.495,24.972
24.451,24.695,24.841,24.243,24.495
24.855,24.451,24.695,24.841,24.243
24.992,24.855,24.451,24.695,24.841
25.387,24.992,24.855,24.451,24.695
25.256,25.387,24.992,24.855,24.451
25.018,25.256,25.387,24.992,24.855
25.194,25.018,25.256,25.387,24.992
24.949,25.194,25.018,25.256,25.387
24.31,24.949,25.194,25.018,25.256
23.281,24.31,24.949,25.194,25.018
23.345,23.281,24.31,24.949,25.194
23.289,23.345,23.281,24.31,24.949
22.89,23.289,23.345,23.281,24.31
23.402,22.89,23.289,23.345,23.281
23.168,23.402,22.89,23.289,23.345
23.112,23.168,23.402,22.89,23.289
22.81,23.112,23.168,23.402,22.89
22.591,22.81,23.112,23.168,23.402
22.868,22.591,22.81,23.112,23.168
22.939,22.868,22.591,22.81,23.112
22.805,22.939,22.868,22.591,22.81
22.328,22.805,22.939,22.868,22.591
22.436,22.328,22.805,22.939,22.868
22.774,22.436,22.328,22.805,22.939
23.193,22.774,22.436,22.328,22.805
24.062,23.193,22.774,22.436,22.328
24.198,24.062,23.193,22.774,22.436
24.076,24.198,24.062,23.193,22.774
23.891,24.076,24.198,24.062,23.193
24.105,23.891,24.076,24.198,24.062
23.822,24.105,23.891,24.076,24.198
24.059,23.822,24.105,23.891,24.076
24.41,24.059,23.822,24.105,23.891
24.348,24.41,24.059,23.822,24.105
23.529,24.348,24.41,24.059,23.822
23.67,23.529,24.348,24.41,24.059
23.635,23.67,23.529,24.348,24.41
23.747,23.635,23.67,23.529,24.348
23.987,23.747,23.635,23.67,23.529
23.587,23.987,23.747,23.635,23.67
23.239,23.587,23.987,23.747,23.635
23.267,23.239,23.587,23.987,23.747
23.413,23.267,23.239,23.587,23.987
23.248,23.413,23.267,23.239,23.587
22.803,23.248,23.413,23.267,23.239
23.132,22.803,23.248,23.413,23.267
23.509,23.132,22.803,23.248,23.413
23.743,23.509,23.132,22.803,23.248
23.948,23.743,23.509,23.132,22.803
23.523,23.948,23.743,23.509,23.132
23.789,23.523,23.948,23.743,23.509
23.783,23.789,23.523,23.948,23.743
24.175,23.783,23.789,23.523,23.948
24.154,24.175,23.783,23.789,23.523
24.424,24.154,24.175,23.783,23.789
25.658,24.424,24.154,24.175,23.783
25.898,25.658,24.424,24.154,24.175
25.834,25.898,25.658,24.424,24.154
25.93,25.834,25.898,25.658,24.424
26.358,25.93,25.834,25.898,25.658
25.681,26.358,25.93,25.834,25.898
25.619,25.681,26.358,25.93,25.834
25.23,25.619,25.681,26.358,25.93
25.226,25.23,25.619,25.681,26.358
25.209,25.226,25.23,25.619,25.681
25.071,25.209,25.226,25.23,25.619
25.088,25.071,25.209,25.226,25.23
25.524,25.088,25.071,25.209,25.226
25.28,25.524,25.088,25.071,25.209
25.595,25.28,25.524,25.088,25.071
25.59,25.595,25.28,25.524,25.088
25.484,25.59,25.595,25.28,25.524
25.088,25.484,25.59,25.595,25.28
25.46,25.088,25.484,25.59,25.595
25.925,25.46,25.088,25.484,25.59
25.458,25.925,25.46,25.088,25.484
25.186,25.458,25.925,25.46,25.088
24.912,25.186,25.458,25.925,25.46
25.093,24.912,25.186,25.458,25.925
25.037,25.093,24.912,25.186,25.458
25.101,25.037,25.093,24.912,25.186
24.021,25.101,25.037,25.093,24.912
24.156,24.021,25.101,25.037,25.093
23.989,24.156,24.021,25.101,25.037
23.391,23.989,24.156,24.021,25.101
23.345,23.391,23.989,24.156,24.021
23.075,23.345,23.391,23.989,24.156
23.247,23.075,23.345,23.391,23.989
23.144,23.247,23.075,23.345,23.391
22.675,23.144,23.247,23.075,23.345
22.324,22.675,23.144,23.247,23.075
22.533,22.324,22.675,23.144,23.247
22.351,22.533,22.324,22.675,23.144
21.588,22.351,22.533,22.324,22.675
21.774,21.588,22.351,22.533,22.324
21.929,21.774,21.588,22.351,22.533
21.793,21.929,21.774,21.588,22.351
20.375,21.793,21.929,21.774,21.588
20.025,20.375,21.793,21.929,21.774
20.005,20.025,20.375,21.793,21.929
20.054,20.005,20.025,20.375,21.793
20.984,20.054,20.005,20.025,20.375
21.238,20.984,20.054,20.005,20.025
20.766,21.238,20.984,20.054,20.005
20.959,20.766,21.238,20.984,20.054
20.961,20.959,20.766,21.238,20.984
20.67,20.961,20.959,20.766,21.238
20.81,20.67,20.961,20.959,20.766
21.306,20.81,20.67,20.961,20.959
21.677,21.306,20.81,20.67,20.961
21.89,21.677,21.306,20.81,20.67
21.808,21.89,21.677,21.306,20.81
21.598,21.808,21.89,21.677,21.306
21.715,21.598,21.808,21.89,21.677
21.71,21.715,21.598,21.808,21.89
21.572,21.71,21.715,21.598,21.808
21.873,21.572,21.71,21.715,21.598
21.852,21.873,21.572,21.71,21.715
22.075,21.852,21.873,21.572,21.71
22.143,22.075,21.852,21.873,21.572
22.42,22.143,22.075,21.852,21.873
22.177,22.42,22.143,22.075,21.852
22.237,22.177,22.42,22.143,22.075
22.405,22.237,22.177,22.42,22.143
23.615,22.405,22.237,22.177,22.42
23.609,23.615,22.405,22.237,22.177
23.836,23.609,23.615,22.405,22.237
23.733,23.836,23.609,23.615,22.405
23.534,23.733,23.836,23.609,23.615
23.937,23.534,23.733,23.836,23.609
23.846,23.937,23.534,23.733,23.836
23.665,23.846,23.937,23.534,23.733
23.481,23.665,23.846,23.937,23.534
23.86,23.481,23.665,23.846,23.937
23.791,23.86,23.481,23.665,23.846
23.569,23.791,23.86,23.481,23.665
23.978,23.569,23.791,23.86,23.481
24.455,23.978,23.569,23.791,23.86
24.415,24.455,23.978,23.569,23.791
24.279,24.415,24.455,23.978,23.569
23.914,24.279,24.415,24.455,23.978
23.481,23.914,24.279,24.415,24.455
23.665,23.481,23.914,24.279,24.415
23.871,23.665,23.481,23.914,24.279
23.982,23.871,23.665,23.481,23.914
23.424,23.982,23.871,23.665,23.481
23.964,23.424,23.982,23.871,23.665
24.236,23.964,23.424,23.982,23.871
24.328,24.236,23.964,23.424,23.982
24.04,24.328,24.236,23.964,23.424
24.25,24.04,24.328,24.236,23.964
23.84,24.25,24.04,24.328,24.236
24.217,23.84,24.25,24.04,24.328
24.055,24.217,23.84,24.25,24.04
23.92,24.055,24.217,23.84,24.25
23.622,23.92,24.055,24.217,23.84
24.194,23.622,23.92,24.055,24.217
24.271,24.194,23.622,23.92,24.055
23.199,24.271,24.194,23.622,23.92
23.328,23.199,24.271,24.194,23.622
23.305,23.328,23.199,24.271,24.194
24.136,23.305,23.328,23.199,24.271
23.99,24.136,23.305,23.328,23.199
23.403,23.99,24.136,23.305,23.328
23.717,23.403,23.99,24.136,23.305
23.246,23.717,23.403,23.99,24.136
22.922,23.246,23.717,23.403,23.99
22.335,22.922,23.246,23.717,23.403
22.417,22.335,22.922,23.246,23.717
23.25,22.417,22.335,22.922,23.246
22.841,23.25,22.417,22.335,22.922
21.781,22.841,23.25,22.417,22.335
21.436,21.781,22.841,23.25,22.417
21.125,21.436,21.781,22.841,23.25
21.609,21.125,21.436,21.781,22.841
21.508,21.609,21.125,21.436,21.781
21.526,21.508,21.609,21.125,21.436
21.229,21.526,21.508,21.609,21.125
20.872,21.229,21.526,21.508,21.609
20.997,20.872,21.229,21.526,21.508
20.975,20.997,20.872,21.229,21.526
21.524,20.975,20.997,20.872,21.229
21.518,21.524,20.975,20.997,20.872
22.113,21.518,21.524,20.975,20.997
21.667,22.113,21.518,21.524,20.975
21.702,21.667,22.113,21.518,21.524
21.327,21.702,21.667,22.113,21.518
21.502,21.327,21.702,21.667,22.113
20.919,21.502,21.327,21.702,21.667
20.919,20.919,21.502,21.327,21.702
20.784,20.919,20.919,21.502,21.327
19.43,20.784,20.919,20.919,21.502
19.594,19.43,20.784,20.919,20.919
19.667,19.594,19.43,20.784,20.919
19.119,19.667,19.594,19.43,20.784
19.147,19.119,19.667,19.594,19.43
19.494,19.147,19.119,19.667,19.594
19.486,19.494,19.147,19.119,19.667
19.349,19.486,19.494,19.147,19.119
19.189,19.349,19.486,19.494,19.147
19.066,19.189,19.349,19.486,19.494
18.689,19.066,19.189,19.349,19.486
18.359,18.689,19.066,19.189,19.349
18.6,18.359,18.689,19.066,19.189
18.719,18.6,18.359,18.689,19.066
18.071,18.719,18.6,18.359,18.689
18.918,18.071,18.719,18.6,18.359
18.938,18.918,18.071,18.719,18.6
19.487,18.938,18.918,18.071,18.719
19.615,19.487,18.938,18.918,18.071
20.255,19.615,19.487,18.938,18.918
20.66,20.255,19.615,19.487,18.938
